Gender,Age,Dur,PPV
Male,21,41,23.34
Male,21,42,23.58
Male,21,43,23.81
Male,21,44,24.03
Male,21,45,24.25
Male,21,46,24.45
Male,21,47,24.64
Male,21,48,24.81
Male,21,49,24.97
Male,21,50,25.12
Male,22,1,1.0
Male,22,2,1.97
Male,22,3,2.91
Male,22,4,3.822
Male,22,5,4.707
Male,22,6,5.562
Male,22,7,6.395
Male,22,8,7.203
Male,22,9,7.984
Male,22,10,8.74
Male,22,11,9.48
Male,22,12,10.19
Male,22,13,10.88
Male,22,14,11.55
Male,22,15,12.2
Male,22,16,12.83
Male,22,17,13.44
Male,22,18,14.03
Male,22,19,14.6
Male,22,20,15.16
Male,22,21,15.695
Male,22,22,16.22
Male,22,23,16.72
Male,22,24,17.2
Male,22,25,17.69
Male,22,26,18.14
Male,22,27,18.58
Male,22,28,19.0
Male,22,29,19.4
Male,22,30,19.81
Male,22,31,20.19
Male,22,32,20.56
Male,22,33,20.92
Male,22,34,21.25
Male,22,35,21.58
Male,22,36,21.9
Male,22,37,22.2
Male,22,38,22.5
Male,22,39,22.77
Male,22,40,23.03
Male,22,41,23.28
Male,22,42,23.53
Male,22,43,23.75
Male,22,44,23.97
Male,22,45,24.17
Male,22,46,24.38
Male,22,47,24.55
Male,22,48,24.72
Male,22,49,24.88
Male,22,50,25.03
Male,23,1,1.0
Male,23,2,1.97
Male,23,3,2.91
Male,23,4,3.822
Male,23,5,4.707
Male,23,6,5.562
Male,23,7,6.395
Male,23,8,7.203
Male,23,9,7.984
Male,23,10,8.74
Male,23,11,9.48
Male,23,12,10.19
Male,23,13,10.88
Male,23,14,11.55
Male,23,15,12.195
Male,23,16,12.83
Male,23,17,13.44
Male,23,18,14.03
Male,23,19,14.6
Male,23,20,15.16
Male,23,21,15.695
Male,23,22,16.22
Male,23,23,16.72
Male,23,24,17.2
Male,23,25,17.67
Male,23,26,18.12
Male,23,27,18.56
Male,23,28,18.98
Male,23,29,19.39
Male,23,30,19.8
Male,23,31,20.17
Male,23,32,20.53
Male,23,33,20.89
Male,23,34,21.23
Male,23,35,21.55
Male,23,36,21.86
Male,23,37,22.16
Male,23,38,22.45
Male,23,39,22.72
Male,23,40,22.98
Male,23,41,23.23
Male,23,42,23.47
Male,23,43,23.69
Male,23,44,23.9
Male,23,45,24.1
Male,23,46,24.28
Male,23,47,24.47
Male,23,48,24.62
Male,23,49,24.78
Male,23,50,24.92
Male,24,1,1.0
Male,24,2,1.97
Male,24,3,2.91
Male,24,4,3.822
Male,24,5,4.707
Male,24,6,5.562
Male,24,7,6.395
Male,24,8,7.2
Male,24,9,7.984
Male,24,10,8.74
Male,24,11,9.48
Male,24,12,10.19
Male,24,13,10.875
Male,24,14,11.55
Male,24,15,12.195
Male,24,16,12.83
Male,24,17,13.44
